Year,Company,Mkt_Share_Perc,CompanyType,,,,
1999,ACCC Insurance Co.,0,Independent,,,,
1999,ACUITY A Mutual Insurance Co.,0.06,Independent,,,,
1999,Agency Insurance Co. of MD Inc,0.01,Independent,,,,
1999,AIG,1.29,Independent,,,,
1999,Alfa Mutual Group,0.32,Independent,,,,
1999,Allstate Corp,12.1,Captive,,,,
1999,American Access Casualty Co.,,Independent,,,,
1999,American Family Insurance,2.26,Captive,,,,
1999,American National,0.3,Independent,,,,
1999,Amica,0.56,Direct,,,,
1999,AmTrust Financial,0.18,Independent,,,,
1999,Arbella Insurance,0.36,Independent,,,,
1999,AssuranceAmerica,0,Independent,,,,
1999,Auto Club Exchange,1.03,Direct,,,,
1999,Auto Club Insurance Association,0.94,Direct,,,,
1999,Auto-Owners Insurance,0.63,Independent,,,,
1999,Bear River Mutual Insurance Co,0.02,Captive,,,,
1999,Berkshire Hathaway Inc.,4.02,Direct,,,,
1999,California Casualty,0.15,Direct,,,,
1999,Central Insurance Companies,0.07,Independent,,,,
1999,Chubb,0.27,Independent,,,,
1999,Consumers County Mutual Ins Co,0.11,Independent,,,,
1999,COUNTRY Financial,0.58,Independent,,,,
1999,CSAA Insurance Exchange,1.31,Direct,,,,
1999,Donegal,0.11,Independent,,,,
1999,Elephant Insurance Co.,,Direct,,,,
1999,Encova Insurance,0.14,Independent,,,,
1999,Erie Insurance,1.01,Independent,,,,
1999,Farm Bureau Financial Services,0.22,Independent,,,,
1999,Farm Bureau Mutl Ins Co. of ID,0.04,Independent,,,,
1999,Farmers Insurance,7.29,Captive,,,,
1999,Farmers Mutual Ins Co. of NE,0.04,Independent,,,,
1999,First Acceptance,0.01,Independent,,,,
1999,Frankenmuth Insurance,0.03,Independent,,,,
1999,Georgia Farm Bureau,0.17,Independent,,,,
1999,Germania Insurance,0.03,Independent,,,,
1999,GoAuto Insurance Co.,0,Independent,,,,
1999,Grange Insurance,0.32,Independent,,,,
1999,Grinnell Mutual,0.08,Independent,,,,
1999,Home State Insurance Grp Inc.,0.2,Independent,,,,
1999,Horace Mann,0.31,Independent,,,,
1999,IMT,0.03,Independent,,,,
1999,Indiana Farm Bureau,0.17,Independent,,,,
1999,Kemper,0.96,Direct,,,,
1999,Kentucky Farm Bureau,0.26,Independent,,,,
1999,Liberty Mutual,4.83,Independent,,,,
1999,Loya Insurance,,Captive,,,,
1999,MAPFRE,0.74,Independent,,,,
1999,Markel,0.07,Independent,,,,
1999,Mercury Insurance,0.99,Independent,,,,
1999,MetLife,1.21,Independent,,,,
1999,MGA Insurance Co.,0.03,Independent,,,,
1999,Michigan Farm Bureau,0.12,Independent,,,,
1999,Mutual of Enumclaw,0.09,Independent,,,,
1999,National General Holdings Corp,1.04,Direct,,,,
1999,Nationwide,4.78,Captive,,,,
1999,NJM Insurance,0.45,Direct,,,,
1999,Nodak Mutual Group Inc.,0.03,Independent,,,,
1999,North Carolina Farm Bureau Insurance,0.25,Independent,,,,
1999,North Star Mutual Insurance Co,0.01,Independent,,,,
1999,NYCM Insurance,0.2,Independent,,,,
1999,Ocean Harbor Insurance,0.03,Independent,,,,
1999,Ohio Mutual Insurance Group,0.04,Independent,,,,
1999,Old American,0.11,Independent,,,,
1999,Pekin Insurance,0.08,Independent,,,,
1999,PEMCO Mutual Insurance Co.,0.12,Independent,,,,
1999,Penn National Insurance,0.11,Independent,,,,
1999,Pioneer State Mutual Ins Co.,0.02,Independent,,,,
1999,Plymouth Rock Co.,0.11,Independent,,,,
1999,Plymouth Rock of New Jersey,0.48,Independent,,,,
1999,Progressive,4.77,Direct,,,,
1999,Quincy Mutual,0.06,Independent,,,,
1999,Redpoint County Mutual Ins Co.,0.02,Independent,,,,
1999,Root Insurance Co.,0,Direct,,,,
1999,Safe Auto Insurance Group,0.03,Independent,,,,
1999,Safety Insurance,0.26,Independent,,,,
1999,Safeway Insurance,0.11,Independent,,,,
1999,Selective,0.16,Independent,,,,
1999,Sentry,0.72,Independent,,,,
1999,Shelter Insurance,0.45,Independent,,,,
1999,Southern Farm Bureau Casualty,0.57,Independent,,,,
1999,State Auto,0.45,Independent,,,,
1999,State Farm,19.05,Captive,,,,
1999,Tennessee Farmers Insurance Companies,0.29,Independent,,,,
1999,Texas Farm Bureau Insurance,0.04,Captive,,,,
1999,The Cincinnati Insurance Cos.,0.29,Independent,,,,
1999,The Hanover Insurance Group,0.77,Independent,,,,
1999,The Hartford,1.4,Independent,,,,
1999,Tiptree Inc.,0.03,Independent,,,,
1999,Tokio Marine,0.04,Independent,,,,
1999,Travelers,2.33,Independent,,,,
1999,United Automobile Insurance Co,0.03,Independent,,,,
1999,Universal Group Inc.,0.02,Independent,,,,
1999,USAA,3.14,Direct,,,,
1999,Utica National Insurance Group,0.12,Independent,,,,
1999,VA Farm Bureau Federation,0.09,Independent,,,,
1999,Wawanesa General Insurance Co.,0.04,Independent,,,,
1999,West Bend Mutual Insurance Co.,0.06,Independent,,,,
1999,Western National Insurance,0.14,Independent,,,,
1999,Westfield Insurance,0.27,Independent,,,,
2000,ACCC Insurance Co.,0,Independent,,,,
2000,ACUITY A Mutual Insurance Co.,0.07,Independent,,,,
